company_name,mailing_address,contact_name,contact_role,contact_email_or_phone,confidence_score,source,needs_human_review
Cedar Ridge Plumbing LLC,"4821 Maple Ave, Lincoln, NE 68504",Daniel Ortega,Owner,d.ortega@cedarridgeplumbing.com,95,mock://enrichment/cedar-ridge-plumbing;mock://listing/cedar-ridge-plumbing;mock://registry/ne/cedar-ridge-plumbing,false
Bayview Auto Repair,"129 Harbor St, Tacoma, WA 98402",Karen Liu,Owner,karen@bayviewauto.com,81,mock://enrichment/bayview-auto-repair;mock://registry/wa/bayview-auto-repair,false
Sunbelt Roofing Co,"7714 Desert Bloom Rd, Mesa, AZ 85207",,,,46,mock://enrichment/sunbelt-roofing;mock://listing/sunbelt-roofing,true
Riverside Print & Sign,"302 W 3rd St, Davenport, IA 52801",,,,21,mock://enrichment/riverside-print-sign,true
Magnolia Family Dental,"1188 Peachtree Ln, Macon, GA 31201",,,,35,mock://listing/magnolia-family-dental,true
Northgate HVAC Services,"56 Industrial Pkwy, Akron, OH 44310",,,,26,mock://registry/oh/northgate-hvac,true
Pioneer Landscaping Inc,"940 Prairie View Dr, Boise, ID 83704",Maria Gomez,President,maria@pioneerlandscaping.com,96,mock://enrichment/pioneer-landscaping;mock://listing/pioneer-landscaping;mock://registry/id/pioneer-landscaping,false
Harbor Light Electric,"22 Dockside Ave, New Bedford, MA 02740",Sean Murphy,Owner,+1-508-555-0160,80,mock://listing/harbor-light-electric;mock://registry/ma/harbor-light-electric,false
Summit Pest Control,"6310 Highland Blvd, Reno, NV 89506",,,,21,mock://enrichment/summit-pest-control,true
Greenfield Catering Group,"415 Orchard St, Springfield, MO 65806",Angela Brooks,Owner,a.brooks@greenfieldcater.com,81,mock://enrichment/greenfield-catering;mock://registry/mo/greenfield-catering,false
Lakeside Auto Glass,"88 Lakeshore Dr, Madison, WI 53703",,,,54,mock://enrichment/lakeside-auto-glass;mock://listing/lakeside-auto-glass,true
Ironclad Welding Shop,"1701 Foundry Rd, Pittsburgh, PA 15201",Robert Kowalski,Owner,bob@ironcladweld.com,97,mock://enrichment/ironclad-welding;mock://listing/ironclad-welding;mock://registry/pa/ironclad-welding,false
Coastal Breeze Pool Service,"233 Seagrape Way, Sarasota, FL 34236",,,,60,mock://listing/coastal-breeze-pool;mock://registry/fl/coastal-breeze-pool,true
Redwood Cabinetry,"509 Timber Ct, Eugene, OR 97401",,,,0,,true
Anchor Marine Supply,"17 Wharf St, Portland, ME 04101",,,,22,mock://enrichment/anchor-marine,true
Desert Sky Solar,"4400 Sunray Dr, Tucson, AZ 85706",,,,0,,true
Brookside Veterinary Clinic,"760 Willow Bend, Chattanooga, TN 37402",Dr. Emily Hart,Owner,emily.hart@brooksidevet.com,95,mock://enrichment/brookside-vet;mock://listing/brookside-vet;mock://registry/tn/brookside-vet,false
Cornerstone Masonry,"311 Brickyard Ln, Wichita, KS 67202",,,,0,,true
Velvet Thread Tailoring,"55 Garment Row, Allentown, PA 18101",,,,0,,true
Frontier Towing & Recovery,"9201 Range Rd, Cheyenne, WY 82001",,,,0,,true
Blue Heron Landscaping,"144 Marsh View Dr, Charleston, SC 29401",,,,0,,true
Ace Mobile Locksmith,"27 Keystone Ave, Toledo, OH 43604",,,,0,,true
Maple Leaf Bakery,"612 Baker St, Burlington, VT 05401",,,,35,mock://listing/maple-leaf-bakery,true
Granite Peak Surveying,"800 Summit Rd, Helena, MT 59601",,,,0,,true
Tidewater Plumbing & Heating,"45 Estuary Ln, Norfolk, VA 23510",George Whitfield,Owner,g.whitfield@tidewaterph.com,81,mock://enrichment/tidewater-plumbing;mock://registry/va/tidewater-plumbing,false
Sierra Vista Auto Body,"3320 Foothill Dr, Fresno, CA 93720",,,,0,,true
Hometown Hardware Co,"19 Main St, Dubuque, IA 52001",,,,21,mock://enrichment/hometown-hardware,true
Evergreen Tree Care,"507 Cedar Hollow, Spokane, WA 99201",,,,0,,true
Liberty Sign & Awning,"1290 Freedom Blvd, Allen, TX 75002",,,,0,,true
Crescent Moon Cafe,"73 Bourbon Walk, Lafayette, LA 70501",,,,0,,true
